,Nationality Country,Age_mean,Age_min,Age_max,Height_mean,Height_min,Height_max,Weight_mean,Weight_min,Weight_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Latitude,Longitude
78,Italy,25.928774928774928,17,40,71.87410586552217,64.0,77.0,167.48068669527896,130.0,212.0,68.15811965811966,47,89,72.69088319088318,53,93,1.2074391988555078,1.0,4.0,13478.632478632479,1000.0,215000.0,3047571.225071225,10000.0,62000000.0,5548557.858376511,15000.0,105900000.0,41.87194000000065,12.567380000000204
79,Jamaica,28.125,19,35,71.28125,66.0,76.0,168.15625,132.0,223.0,66.625,53,81,68.71875,60,89,1.03125,1.0,2.0,8187.5,1000.0,54000.0,1901406.25,100000.0,26500000.0,3402781.25,175000.0,50400000.0,18.109581,-77.29750800000005
80,Japan,26.15899581589958,17,42,69.98117154811716,61.0,78.0,157.9518828451883,110.0,203.0,62.62133891213389,47,81,66.63389121338912,48,85,1.0585774058577406,1.0,3.0,3453.9748953974895,1000.0,65000.0,831422.5941422594,0.0,17500000.0,1253118.6813186812,13000.0,32200000.000000004,36.204824000000265,138.25292400000032
81,Jordan,23.0,23,23,69.0,69.0,69.0,165.0,165.0,165.0,63.0,63,63,70.0,70,70,1.0,1.0,1.0,1000.0,1000.0,1000.0,425000.0,425000.0,425000.0,616000.0,616000.0,616000.0,30.585164000000002,36.238414
82,Kazakhstan,26.25,24,29,69.75,69.0,70.0,159.5,148.0,174.0,64.75,62,68,66.5,65,70,1.0,1.0,1.0,2000.0,1000.0,4000.0,587500.0,325000.0,1100000.0,892750.0,496000.0,1700000.0,48.019573,66.923684
83,Kenya,24.8,19,33,71.7,67.0,76.0,167.5,132.0,196.0,65.4,56,80,70.3,63,82,1.1,1.0,2.0,11200.0,1000.0,86000.0,2261000.0,170000.0,14500000.0,4110500.0,292000.0,27900000.0,-0.023559,37.90619300000001
84,Kosovo,23.454545454545453,19,32,71.48484848484848,67.0,78.0,164.93939393939394,143.0,192.0,66.03030303030303,53,76,72.27272727272727,59,83,1.0303030303030303,1.0,2.0,6727.272727272727,1000.0,40000.0,1842424.2424242424,70000.0,11000000.0,3391875.0,116000.0,20900000.0,42.602636000000004,20.902976999999996
85,Kuwait,31.0,31,31,77.0,77.0,77.0,161.0,161.0,161.0,70.0,70,70,70.0,70,70,1.0,1.0,1.0,13000.0,13000.0,13000.0,1200000.0,1200000.0,1200000.0,2000000.0,2000000.0,2000000.0,29.311659999999996,47.481766
86,Latvia,29.0,20,38,75.0,73.0,78.0,191.83333333333334,179.0,205.0,63.166666666666664,53,70,66.33333333333333,54,78,1.0,1.0,1.0,2666.6666666666665,1000.0,5000.0,445833.3333333333,40000.0,1000000.0,718500.0,58000.0,1700000.0,56.879635,24.603189
87,Lebanon,29.0,29,29,74.0,74.0,74.0,176.0,176.0,176.0,66.0,66,66,66.0,66,66,1.0,1.0,1.0,2000.0,2000.0,2000.0,500000.0,500000.0,500000.0,625000.0,625000.0,625000.0,33.854721000000005,35.862285
88,Liberia,25.0,25,25,70.0,70.0,70.0,163.0,163.0,163.0,68.0,68,68,73.0,73,73,1.0,1.0,1.0,3000.0,3000.0,3000.0,1200000.0,1200000.0,1200000.0,1600000.0,1600000.0,1600000.0,6.4280550000000005,-9.429499
89,Libya,25.0,24,26,68.5,67.0,70.0,155.0,148.0,168.0,70.0,67,72,73.5,72,76,1.0,1.0,1.0,4750.0,4000.0,6000.0,2400000.0,1000000.0,3600000.0,4025000.0,2200000.0,6000000.0,26.3351,17.228331
90,Liechtenstein,25.333333333333332,22,27,69.33333333333333,69.0,70.0,164.0,157.0,172.0,64.66666666666667,57,71,67.66666666666667,66,71,1.0,1.0,1.0,5000.0,2000.0,10000.0,1078333.3333333333,160000.0,2400000.0,1881000.0,264000.0,4400000.0,47.166000000000004,9.555373
91,Lithuania,24.875,19,31,73.25,69.0,76.0,178.0,152.0,203.0,63.5,53,71,68.5,60,77,1.0,1.0,1.0,2875.0,1000.0,7000.0,875625.0,130000.0,2500000.0,1395000.0,244000.0,4200000.0,55.16943800000001,23.881274999999995
92,Luxembourg,23.25,18,28,72.375,69.0,75.0,168.5,143.0,190.0,63.875,57,71,71.375,63,78,1.0,1.0,1.0,4000.0,1000.0,10000.0,853750.0,150000.0,2200000.0,1594833.3333333333,363000.0,3500000.0,49.815273,6.129583
93,Macedonia [FYROM],25.1,18,34,71.8,67.0,77.0,165.65,137.0,198.0,68.0,50,77,72.5,63,83,1.05,1.0,2.0,7900.0,1000.0,30000.0,2778750.0,60000.0,12000000.0,5662684.2105263155,125000.0,27600000.0,41.608635000000014,21.745274999999996
94,Madagascar,27.5,21,34,70.75,66.0,74.0,166.41666666666666,141.0,183.0,66.91666666666667,60,76,68.83333333333333,63,77,1.0833333333333333,1.0,2.0,7750.0,1000.0,48000.0,1014166.6666666666,220000.0,2800000.0,1891166.6666666667,402000.0,4900000.0,-18.766947000000005,46.86910699999999
95,Mali,24.74418604651163,18,34,71.65116279069767,67.0,78.0,164.6046511627907,132.0,198.0,68.97674418604652,56,80,73.69767441860465,63,85,1.0232558139534884,1.0,2.0,10674.418604651162,1000.0,38000.0,2688372.093023256,160000.0,16000000.0,5607184.2105263155,200000.0,32000000.0,17.570692000000005,-3.9961659999999988
96,Malta,25.0,25,25,66.0,66.0,66.0,154.0,154.0,154.0,61.0,61,61,63.0,63,63,1.0,1.0,1.0,2000.0,2000.0,2000.0,300000.0,300000.0,300000.0,,,,35.937496,14.375416
97,Mauritania,23.0,20,26,71.25,67.0,79.0,174.25,159.0,212.0,64.5,62,67,70.0,66,74,1.0,1.0,1.0,2000.0,1000.0,4000.0,600000.0,375000.0,825000.0,971666.6666666666,684000.0,1500000.0,21.00789,-10.940835
98,Mauritius,26.0,26,26,73.0,73.0,73.0,194.0,194.0,194.0,68.0,68,68,69.0,69,69,1.0,1.0,1.0,4000.0,4000.0,4000.0,875000.0,875000.0,875000.0,1600000.0,1600000.0,1600000.0,-20.348404000000002,57.552152
99,Mexico,24.31967213114754,17,45,69.8082191780822,63.0,77.0,159.2219178082192,119.0,205.0,65.41803278688525,50,82,71.50819672131148,57,86,1.095890410958904,1.0,3.0,8825.136612021857,1000.0,90000.0,1684289.6174863388,20000.0,24000000.0,3104918.674698795,34000.0,44600000.0,23.634501000000235,-102.55278399999968
100,Moldova,23.6,17,31,73.6,71.0,79.0,170.4,152.0,198.0,66.2,51,74,73.2,67,79,1.2,1.0,2.0,11200.0,1000.0,27000.0,2359000.0,70000.0,6000000.0,4270400.0,152000.0,10200000.0,47.411631,28.369885
101,Montenegro,25.0,18,36,73.0,68.0,78.0,172.04347826086956,150.0,190.0,68.47826086956522,59,83,72.95652173913044,62,86,1.173913043478261,1.0,3.0,13086.95652173913,1000.0,79000.0,3405869.565217391,170000.0,26000000.0,7157650.0,324000.0,55300000.0,42.708677999999985,19.374390000000002
102,Montserrat,25.5,22,28,72.0,70.0,74.0,174.25,159.0,201.0,64.75,63,67,68.0,65,71,1.0,1.0,1.0,3000.0,2000.0,5000.0,587500.0,500000.0,800000.0,992250.0,656000.0,1400000.0,16.742498,-62.187366000000004
103,Morocco,25.894117647058824,18,36,71.17647058823529,65.0,76.0,164.52941176470588,137.0,207.0,69.94117647058823,52,86,73.31764705882352,58,86,1.1529411764705881,1.0,3.0,14847.058823529413,1000.0,160000.0,3948352.9411764704,20000.0,32500000.0,6912531.645569621,25000.0,49500000.0,31.791701999999994,-7.092620000000006
104,Mozambique,26.0,21,30,70.75,68.0,74.0,160.75,141.0,174.0,71.0,66,75,73.75,70,76,1.25,1.0,2.0,11000.0,2000.0,28000.0,2850000.0,700000.0,5000000.0,5800000.0,1500000.0,9500000.0,-18.665695,35.529562
105,Namibia,24.666666666666668,20,27,71.33333333333333,70.0,72.0,170.0,163.0,179.0,66.0,65,67,71.33333333333333,68,78,1.0,1.0,1.0,3333.3333333333335,1000.0,8000.0,783333.3333333334,450000.0,1000000.0,1500000.0,1000000.0,2100000.0,-22.957639999999998,18.49041
106,Netherlands,24.0,16,40,71.95132743362832,66.0,80.0,167.86725663716814,123.0,227.0,67.65342163355409,54,86,73.0242825607064,58,91,1.1504424778761062,1.0,4.0,10035.320088300221,1000.0,165000.0,2870154.5253863134,10000.0,44500000.0,5037802.816901408,15000.0,87900000.0,52.13263300000011,5.291265999999995
107,New Caledonia,30.0,30,30,72.0,72.0,72.0,192.0,192.0,192.0,71.0,71,71,71.0,71,71,1.0,1.0,1.0,9000.0,9000.0,9000.0,1800000.0,1800000.0,1800000.0,3500000.0,3500000.0,3500000.0,-20.904304999999997,165.618042
108,New Zealand,24.25,16,36,71.72727272727273,66.0,77.0,168.45454545454547,141.0,209.0,62.61363636363637,52,77,68.06818181818181,61,80,1.0227272727272727,1.0,2.0,4454.545454545455,0.0,68000.0,957727.2727272727,0.0,10500000.0,2139911.7647058824,63000.0,20700000.0,-40.900556999999985,174.8859709999999
109,Nicaragua,29.0,29,29,71.0,71.0,71.0,190.0,190.0,190.0,64.0,62,66,64.0,62,66,1.0,1.0,1.0,1000.0,1000.0,1000.0,400000.0,300000.0,500000.0,675000.0,675000.0,675000.0,12.865416,-85.207229
110,Niger,24.666666666666668,21,29,72.33333333333333,71.0,74.0,167.66666666666666,157.0,176.0,62.333333333333336,54,67,66.66666666666667,63,71,1.0,1.0,1.0,3666.6666666666665,1000.0,6000.0,578333.3333333334,110000.0,1000000.0,1120000.0,160000.0,2100000.0,17.607789,8.081666
111,Nigeria,23.06611570247934,17,34,71.60330578512396,65.0,79.0,168.05785123966942,130.0,209.0,67.14876033057851,48,80,73.86776859504133,61,86,1.0495867768595042,1.0,2.0,9859.504132231405,1000.0,105000.0,2534462.8099173554,60000.0,17000000.0,4747082.568807339,143000.0,33600000.0,9.081998999999998,8.675277000000023
112,North Korea,28.5,19,36,70.75,68.0,74.0,168.0,154.0,183.0,65.5,58,71,69.5,58,83,1.25,1.0,2.0,4250.0,1000.0,7000.0,950000.0,50000.0,1900000.0,884666.6666666666,63000.0,1600000.0,40.339852,127.510093
113,Norway,24.052785923753667,16,40,71.94134897360703,65.0,79.0,168.0674486803519,117.0,214.0,63.16129032258065,50,83,69.43695014662757,58,87,1.0117302052785924,1.0,2.0,3340.1759530791787,1000.0,54000.0,1007434.0175953079,0.0,17500000.0,1587528.5285285285,58000.0,36800000.0,60.472023999999934,8.468945999999969
114,Oman,36.0,36,36,76.0,76.0,76.0,205.0,205.0,205.0,72.0,72,72,72.0,72,72,2.0,2.0,2.0,12000.0,12000.0,12000.0,425000.0,425000.0,425000.0,723000.0,723000.0,723000.0,21.512583,55.923255000000005
115,Palestinian Territories,31.0,31,31,72.0,72.0,72.0,165.0,165.0,165.0,66.0,66,66,66.0,66,66,1.0,1.0,1.0,2000.0,2000.0,2000.0,575000.0,575000.0,575000.0,719000.0,719000.0,719000.0,31.952162,35.233154
116,Panama,26.4,21,34,71.53333333333333,67.0,76.0,172.2,141.0,194.0,67.66666666666667,64,72,70.33333333333333,67,80,1.0,1.0,1.0,3066.6666666666665,1000.0,6000.0,1163333.3333333333,450000.0,3900000.0,1866866.6666666667,641000.0,6600000.0,8.537981,-80.78212699999997
117,Paraguay,26.094117647058823,19,41,70.63095238095238,65.0,75.0,168.35714285714286,137.0,207.0,69.61176470588235,51,80,72.94117647058823,62,85,1.0714285714285714,1.0,2.0,9117.64705882353,0.0,80000.0,2688647.0588235296,0.0,19500000.0,6340491.525423729,138000.0,40300000.0,-23.44250299999999,-58.44383199999995
118,Peru,25.864864864864863,21,39,70.0,66.0,74.0,162.21621621621622,134.0,185.0,70.21621621621621,61,79,73.64864864864865,68,79,1.135135135135135,1.0,3.0,7432.4324324324325,0.0,41000.0,2568243.243243243,0.0,11000000.0,5034384.615384615,788000.0,15800000.0,-9.189967000000005,-75.01515199999996
119,Philippines,23.5,19,28,73.5,72.0,75.0,183.0,170.0,196.0,65.0,57,73,71.5,68,75,1.0,1.0,1.0,14500.0,1000.0,28000.0,1725000.0,150000.0,3300000.0,3562500.0,225000.0,6900000.0,12.879721,121.77401699999999
120,Poland,24.56,16,38,72.08045977011494,66.0,78.0,167.75574712643677,119.0,205.0,63.22857142857143,48,90,68.82,50,90,1.0833333333333333,1.0,4.0,5131.428571428572,0.0,205000.0,1340771.4285714286,0.0,77000000.0,2352721.5568862273,27000.0,127100000.0,51.919438000000405,19.145136000000075
121,Portugal,25.76086956521739,17,37,70.9968944099379,63.0,77.0,162.83540372670808,117.0,216.0,71.34472049689441,57,94,75.29813664596273,62,94,1.2267080745341614,1.0,5.0,14310.55900621118,0.0,405000.0,5063664.596273292,0.0,77000000.0,10448755.172413792,242000.0,127100000.0,39.39987199999997,-8.224454000000009
122,Puerto Rico,34.0,34,34,70.0,70.0,70.0,170.0,170.0,170.0,63.0,63,63,63.0,63,63,1.0,1.0,1.0,2000.0,2000.0,2000.0,110000.0,110000.0,110000.0,165000.0,165000.0,165000.0,18.220833,-66.590149
123,Qatar,24.0,24,24,72.0,72.0,72.0,170.0,170.0,170.0,63.0,63,63,68.0,68,68,1.0,1.0,1.0,1000.0,1000.0,1000.0,425000.0,425000.0,425000.0,563000.0,563000.0,563000.0,25.354826,51.183884
124,Romania,25.40740740740741,17,34,71.27777777777777,65.0,80.0,166.12962962962962,143.0,212.0,69.16666666666667,54,80,73.66666666666667,65,82,1.1296296296296295,1.0,2.0,8166.666666666667,0.0,57000.0,2166111.111111111,0.0,11500000.0,5592000.0,193000.0,22700000.0,45.943160999999996,24.966760000000015
125,Russia,24.962025316455698,18,34,72.34177215189874,67.0,77.0,169.54430379746836,139.0,209.0,70.0632911392405,57,82,75.34177215189874,60,86,1.2025316455696202,1.0,3.0,3316.4556962025317,0.0,61000.0,3238227.8481012657,0.0,18500000.0,7955880.597014925,186000.0,40700000.0,61.52401000000007,105.31875599999988
126,Rwanda,21.0,21,21,71.0,71.0,71.0,170.0,170.0,170.0,63.0,63,63,71.0,71,71,1.0,1.0,1.0,2000.0,2000.0,2000.0,475000.0,475000.0,475000.0,784000.0,784000.0,784000.0,-1.940278,29.873888
127,Saint Kitts and Nevis,26.333333333333332,24,29,73.0,70.0,76.0,161.0,141.0,194.0,62.0,56,71,63.333333333333336,56,72,1.0,1.0,1.0,10000.0,1000.0,26000.0,1023333.3333333334,70000.0,2800000.0,1996000.0,123000.0,5500000.0,17.357822,-62.782998
128,Saint Lucia,24.0,24,24,72.0,72.0,72.0,165.0,165.0,165.0,64.0,64,64,68.0,68,68,1.0,1.0,1.0,1000.0,1000.0,1000.0,500000.0,500000.0,500000.0,,,,13.909444,-60.97889300000001
129,Saudi Arabia,24.558823529411764,18,41,69.59347181008901,63.0,77.0,154.54302670623144,110.0,212.0,60.76764705882353,50,74,66.36764705882354,52,79,1.0148367952522255,1.0,2.0,5117.64705882353,1000.0,33000.0,416602.9411764706,0.0,5500000.0,751466.4536741214,17000.0,9400000.0,23.885941999999904,45.079162
130,Senegal,25.361538461538462,18,35,72.57692307692308,66.0,80.0,169.16923076923078,123.0,209.0,68.61538461538461,51,87,72.92307692307692,60,90,1.1692307692307693,1.0,3.0,14361.538461538461,1000.0,195000.0,3545076.923076923,70000.0,52000000.0,6517263.157894737,156000.0,102700000.0,14.497401000000032,-14.452361999999995
131,Serbia,25.642857142857142,18,34,73.0079365079365,65.0,80.0,173.5952380952381,132.0,209.0,69.92857142857143,56,85,73.65079365079364,61,90,1.1904761904761905,1.0,3.0,13404.761904761905,1000.0,165000.0,4157817.4603174604,110000.0,50500000.0,7278137.931034483,182000.0,89600000.0,44.01652099999989,21.005859000000008
132,Sierra Leone,24.833333333333332,20,33,72.66666666666667,70.0,76.0,167.66666666666666,154.0,187.0,65.33333333333333,57,74,70.83333333333333,66,74,1.0,1.0,1.0,4000.0,1000.0,9000.0,1092500.0,180000.0,3500000.0,1742833.3333333333,455000.0,5300000.0,8.460555000000001,-11.779888999999999
133,Slovakia,26.27777777777778,20,38,72.48148148148148,66.0,77.0,171.2962962962963,137.0,201.0,68.4074074074074,56,87,72.79629629629629,62,92,1.1296296296296295,1.0,3.0,11000.0,1000.0,125000.0,3826111.111111111,50000.0,46500000.0,7595760.0,68000.0,88400000.0,48.669026000000024,19.699024000000005
134,Slovenia,26.472727272727273,18,35,72.38181818181818,67.0,78.0,172.1090909090909,148.0,205.0,69.52727272727273,56,90,72.74545454545455,62,93,1.2545454545454546,1.0,3.0,11127.272727272728,0.0,110000.0,4469545.454545454,0.0,68000000.0,9626895.833333334,208000.0,144500000.0,46.15124100000002,14.995462999999983
135,South Africa,26.422535211267604,16,34,69.40845070422536,64.0,76.0,157.07042253521126,128.0,194.0,67.47887323943662,52,76,70.54929577464789,61,84,1.0140845070422535,1.0,2.0,2464.788732394366,0.0,21000.0,1138169.014084507,0.0,7000000.0,3092727.272727273,264000.0,14500000.0,-30.55948199999995,22.93750599999999
136,South Korea,26.35223880597015,17,39,71.45045045045045,67.0,77.0,163.31831831831832,132.0,205.0,64.1820895522388,50,84,67.51940298507462,57,88,1.0690690690690692,1.0,3.0,3065.6716417910447,1000.0,125000.0,870955.223880597,40000.0,37000000.0,1346139.6825396826,50000.0,71200000.0,35.90775700000024,127.76692200000026
137,Spain,25.325559701492537,16,39,71.09897292250234,65.0,78.0,163.07002801120447,123.0,212.0,69.69869402985074,51,91,74.61660447761194,57,93,1.1802054154995332,1.0,4.0,16322.76119402985,1000.0,380000.0,4390718.2835820895,60000.0,73500000.0,9101547.227926077,93000.0,156200000.0,40.46366700000088,-3.749220000000058
138,Sudan,26.0,23,32,72.25,67.0,79.0,158.0,143.0,187.0,62.0,60,65,65.25,60,72,1.0,1.0,1.0,4500.0,2000.0,10000.0,407500.0,120000.0,775000.0,740500.0,198000.0,1600000.0,12.862807,30.217636
139,Suriname,25.25,21,29,72.0,70.0,75.0,168.5,154.0,187.0,67.0,65,70,69.5,67,72,1.0,1.0,1.0,3000.0,2000.0,5000.0,868750.0,575000.0,1400000.0,1344250.0,877000.0,2100000.0,3.9193050000000005,-56.02778299999999
140,Sweden,24.838790931989923,16,37,72.00757575757575,65.0,80.0,169.1489898989899,128.0,212.0,63.622166246851386,47,85,68.93954659949623,52,85,1.0555555555555556,1.0,5.0,4075.5667506297227,0.0,91000.0,1137481.1083123425,0.0,26000000.0,1836007.8125,13000.0,46200000.0,60.128161000000304,18.64350099999981
141,Switzerland,24.64090909090909,17,36,71.7909090909091,66.0,78.0,169.21363636363637,137.0,212.0,65.47727272727273,50,83,71.98181818181818,59,87,1.1772727272727272,1.0,3.0,10154.545454545454,1000.0,130000.0,2119545.4545454546,50000.0,22000000.0,3919448.7804878047,83000.0,43500000.0,46.81818799999996,8.227511999999981
142,Syria,26.0,20,35,70.66666666666667,66.0,75.0,165.66666666666666,139.0,190.0,68.55555555555556,56,78,71.44444444444444,64,80,1.1111111111111112,1.0,2.0,13333.333333333334,1000.0,47000.0,2983888.888888889,130000.0,10500000.0,5112777.777777778,189000.0,17900000.0,34.802075,38.996815000000005
143,São Tomé and Príncipe,31.0,31,31,69.0,69.0,69.0,154.0,154.0,154.0,72.0,72,72,72.0,72,72,1.0,1.0,1.0,15000.0,15000.0,15000.0,2800000.0,2800000.0,2800000.0,4200000.0,4200000.0,4200000.0,0.18636,6.613081
144,Tanzania,22.0,19,25,69.66666666666667,67.0,72.0,157.0,143.0,176.0,67.0,62,76,74.0,71,79,1.0,1.0,1.0,7000.0,1000.0,18000.0,3675000.0,500000.0,10000000.0,5881666.666666667,900000.0,15800000.0,-6.369028,34.888822
145,Thailand,25.0,21,30,67.2,62.0,71.0,142.8,123.0,157.0,62.4,56,68,66.2,62,70,1.0,1.0,1.0,2400.0,1000.0,6000.0,490000.0,160000.0,975000.0,639400.0,232000.0,1300000.0,15.870032,100.992541
146,Togo,28.25,23,34,71.08333333333333,64.0,76.0,165.5,141.0,205.0,71.33333333333333,63,79,72.91666666666667,65,81,1.3333333333333333,1.0,3.0,16000.0,1000.0,34000.0,3770833.3333333335,400000.0,10500000.0,7823727.2727272725,730000.0,21800000.0,8.619542999999998,0.8247820000000002
147,Trinidad and Tobago,31.75,26,44,71.75,68.0,76.0,169.0,154.0,185.0,66.75,53,74,66.75,53,74,1.0,1.0,1.0,9000.0,1000.0,18000.0,2450000.0,0.0,6000000.0,5166666.666666667,1200000.0,9600000.0,10.691803,-61.222503
148,Tunisia,26.46875,18,35,71.84375,67.0,76.0,169.21875,143.0,192.0,68.25,59,77,71.3125,61,81,1.0625,1.0,2.0,9218.75,1000.0,42000.0,2073125.0,120000.0,10000000.0,3892758.620689655,192000.0,20800000.0,33.88691700000001,9.537499000000002
149,Turkey,24.712871287128714,16,38,71.25082508250826,65.0,78.0,164.05610561056105,121.0,209.0,66.07260726072607,50,81,71.7887788778878,58,87,1.0924092409240924,1.0,3.0,10442.244224422442,1000.0,120000.0,1882392.7392739274,30000.0,19500000.0,3606566.552901024,65000.0,34600000.0,38.96374499999974,35.24332200000013
150,Uganda,23.833333333333332,19,30,70.16666666666667,67.0,74.0,168.5,157.0,190.0,62.5,54,70,68.33333333333333,64,74,1.0,1.0,1.0,2000.0,1000.0,5000.0,553333.3333333334,150000.0,1300000.0,939333.3333333334,310000.0,2000000.0,1.373333,32.290275
151,Ukraine,25.136986301369863,17,35,72.54794520547945,66.0,78.0,168.32876712328766,132.0,198.0,70.42465753424658,52,82,75.0958904109589,60,88,1.1232876712328768,1.0,3.0,5986.301369863014,1000.0,92000.0,4092328.7671232875,100000.0,21000000.0,8310638.888888889,216000.0,44100000.0,48.379433000000034,31.16558000000002
152,United Arab Emirates,26.0,26,26,68.0,68.0,68.0,132.0,132.0,132.0,77.0,77,77,78.0,78,78,2.0,2.0,2.0,39000.0,39000.0,39000.0,10500000.0,10500000.0,10500000.0,18600000.0,18600000.0,18600000.0,23.424076,53.847818000000004
153,United Kingdom,24.225776541492813,16,44,71.43575418994413,63.0,80.0,163.90595903165735,126.0,243.0,63.547056096430225,46,89,70.035234121465,48,91,1.0633147113594041,1.0,4.0,9695.410292072324,0.0,355000.0,1454140.0092721372,0.0,83500000.0,2955756.994818653,18000.0,160700000.0,55.37805100000298,-3.4359729999998847
154,United States,25.090651558073656,16,39,71.8243626062323,65.0,78.0,171.81869688385268,134.0,236.0,65.1728045325779,50,79,70.51558073654391,55,87,1.0538243626062322,1.0,3.0,4257.790368271954,1000.0,51000.0,1183696.8838526912,50000.0,18000000.0,1937056.5476190476,85000.0,34200000.0,37.090239999999966,-95.71289099999953
155,Uruguay,26.610738255033556,18,37,70.84563758389261,62.0,77.0,165.30872483221478,132.0,212.0,70.42953020134229,54,91,73.38255033557047,58,91,1.1812080536912752,1.0,5.0,17006.71140939597,0.0,455000.0,4811073.825503356,0.0,80000000.0,9379157.894736841,100000.0,164000000.0,-32.52277899999992,-55.7658350000001
156,Uzbekistan,29.5,29,30,71.5,71.0,72.0,164.0,163.0,165.0,67.5,60,75,67.5,60,75,1.0,1.0,1.0,9000.0,1000.0,17000.0,3100000.0,200000.0,6000000.0,6725000.0,250000.0,13200000.0,41.377491,64.585262
157,Venezuela,24.313432835820894,18,34,70.72727272727273,63.0,78.0,164.65151515151516,121.0,216.0,67.26865671641791,53,81,73.14925373134328,55,84,1.106060606060606,1.0,2.0,6194.0298507462685,0.0,42000.0,2237313.432835821,0.0,22500000.0,4093057.6923076925,108000.0,35400000.0,6.4237499999999965,-66.58973000000003
158,Zambia,22.22222222222222,18,29,70.88888888888889,67.0,75.0,162.0,141.0,201.0,65.22222222222223,56,73,73.77777777777777,66,83,1.0,1.0,1.0,3444.4444444444443,1000.0,7000.0,1129444.4444444445,190000.0,3500000.0,2174000.0,356000.0,6600000.0,-13.133897000000001,27.849332
159,Zimbabwe,26.846153846153847,22,34,70.23076923076923,66.0,74.0,164.0,132.0,185.0,69.76923076923077,64,78,72.46153846153847,66,83,1.0,1.0,1.0,6846.153846153846,1000.0,27000.0,2780769.230769231,475000.0,12000000.0,5319384.615384615,594000.0,18900000.0,-19.015437999999996,29.154856999999996
